"Neighbourhood.Name","Gini_i_HH_tIncome","Avg_HH_size","Avg_tIncome_HH_in_2020","Race_Total","Prop_Black","Prop_Arab","Prop_Latin_Amrican","Prop_East_SouthEast_Asian","Prop_West_Asian","Prop_multi_vis_minority","Prop_non_vis_minority","Unemployment_rate","Prop_no_dip","Prop_HS_or_equi","Prop_PS_non_Bach","Prop_PS_Bach","Prop_Graduate","MEAN_VIOLENT_CRIME_RATE_2014_2022","TOTAL_CRIME_RATE_2022","TOTAL_CRIME_RATE_2016","ROBBERY_2016","BREAKENTER_2016","SHOOTING_2016","MEAN_SHOOTING_RATE_2014_2022"
"Newtonbrook.East",0.4,2.5,109400,15345,0.02411208863,0.008145975888,0.02704463995,0.4170739655,0.1616161616,0.02280873249,0.2394916911,13.1,0.08502906977,0.2242005814,0.1729651163,0.3143168605,0.2034883721,495.2190589,1068.78576,1090.84384,10,42,2,5.962477111
"Bayview.Village",0.4,2.1,107700,22330,0.03896103896,0.01500223914,0.0237348858,0.3846842812,0.1213613972,0.02686968204,0.2769816391,13.7,0.05367444194,0.1753197893,0.1793328317,0.3493855029,0.2422874342,354.8883994,844.46724,725.34653,11,33,0,5.49602
"Henry.Farm",0.4,2.3,91100,19840,0.06829637097,0.04259072581,0.02671370968,0.2976310484,0.07232862903,0.02242943548,0.1706149194,13.7,0.07832744405,0.1716725559,0.1911071849,0.3527679623,0.2061248528,443.9479361,893.13129,657.451682,6,12,0,9.651308667
"O.Connor.Parkview",0.4,2.5,105500,18405,0.1342026623,0.01086661233,0.02336321652,0.1219777234,0.02635153491,0.01657158381,0.5634338495,17,0.1770967742,0.274516129,0.2670967742,0.184516129,0.09677419355,741.8844707,1393.77537,1011.402786,28,34,1,14.87698844
"Thorncliffe.Park",0.3,2.9,76600,20400,0.0737745098,0.04338235294,0.02107843137,0.1080882353,0.09460784314,0.01887254902,0.1796568627,17.9,0.1882696047,0.2799740765,0.1843810758,0.2103046014,0.1370706416,492.4285292,960.35383,670.320601,16,24,1,15.57526078
"Leaside.Bennington",0.5,2.6,284400,16535,0.01451466586,0.003931055337,0.01179316601,0.1224674932,0.01663138796,0.01421227699,0.7850015119,11.2,0.08397506417,0.1730839751,0.1518151815,0.3531353135,0.2379904657,208.5023581,1112.681769,743.23506,8,33,0,1.886824778
"Broadview.North",0.4,2.1,93900,10955,0.06344135098,0.0146052031,0.02738475582,0.1241442264,0.0146052031,0.02373345504,0.6713829302,14.7,0.1428571429,0.2435424354,0.2387981023,0.2414338429,0.1333684765,479.1073236,848.541991,767.30764,11,16,1,4.609319111
"Old.East.York",0.4,2.5,126700,9160,0.03493449782,0.009825327511,0.01364628821,0.135371179,0.0114628821,0.02019650655,0.7221615721,12.2,0.1381536475,0.242091672,0.2511297611,0.2324080052,0.1362169141,485.9160678,1218.3845,834.87533,8,26,1,8.161226667
"Danforth.East.York",0.4,2.5,130400,17065,0.04570758863,0.00673893935,0.02109581014,0.1629065338,0.006445941987,0.02402578377,0.6777029007,11.1,0.158270811,0.2011432655,0.2104322972,0.2718828153,0.158270811,394.2430678,814.87892,767.17183,6,42,0,2.492194889
"Woodbine.Lumsden",0.3,2.3,116500,7915,0.07770056854,0.003790271636,0.02337334176,0.1737207833,0.01073910297,0.0176879343,0.6291850916,12,0.1262282691,0.2297808012,0.2380952381,0.261526833,0.1443688587,476.6438889,823.23851,815.40562,3,14,1,4.089598889
"Taylor.Massey",0.3,2.5,79100,15025,0.11281198,0.01397670549,0.02795341098,0.1021630616,0.015640599,0.01730449251,0.302828619,18.8,0.1408336706,0.2480777013,0.2213678673,0.2173209227,0.1723998381,696.3565252,1375.405346,1091.89872,17,42,2,11.66815167
"East.End.Danforth",0.4,2.3,121700,21845,0.07049668116,0.006408789197,0.02151522087,0.1146715496,0.01258869306,0.02471961547,0.6752117189,12.9,0.1201325601,0.2101629384,0.219276443,0.2985363159,0.1518917426,819.4489317,1771.473001,1671.195216,42,77,2,7.479056333
"The.Beaches",0.5,2.3,197200,21505,0.02232039061,0.002325040688,0.01232271565,0.08114392002,0.004185073239,0.01534526854,0.8402697047,11,0.07369010927,0.1944522275,0.1779209863,0.3404314934,0.2135051835,434.7183369,1004.34989,1380.45786,16,77,0,0.9741035556
"Woodbine.Corridor",0.4,2.3,131000,12205,0.06923392052,0.008603031544,0.0184350676,0.1175747644,0.00327734535,0.02335108562,0.7107742728,10.8,0.1243680485,0.201718908,0.1911021234,0.3038422649,0.1789686552,682.7428704,1396.847682,1527.206752,9,52,1,5.139326444
"Greenwood.Coxwell",0.4,2.3,119100,14120,0.05559490085,0.006728045326,0.0138101983,0.196529745,0.004603399433,0.02266288952,0.6214589235,12,0.1503889369,0.2268798617,0.1979256698,0.2623163354,0.1624891962,773.9797435,1640.274534,1605.66112,14,62,1,10.99566822
"Danforth",0.4,2.4,137600,9310,0.03490870032,0.004833512352,0.01020408163,0.1369495166,0.003759398496,0.02524167562,0.7142857143,12,0.1441441441,0.2149292149,0.1776061776,0.2850707851,0.1782496782,863.8989452,2773.80061,1785.32665,19,41,1,8.843133111
"Playter.Estates.Danforth",0.4,2.1,147400,7680,0.02734375,0.005859375,0.01692708333,0.095703125,0.003255208333,0.021484375,0.8046875,14,0.1062215478,0.1820940819,0.1540212443,0.3148710167,0.2427921093,816.6044956,2175.71017,1552.58619,10,24,0,11.38244333
"North.Riverdale",0.4,2.3,173200,11290,0.023914969,0.004428697963,0.007971656333,0.1780336581,0.004871567759,0.0243578388,0.7307351639,9.1,0.1094736842,0.1605263158,0.1552631579,0.3305263158,0.2442105263,484.7883092,1405.0625,1296.43655,31,41,2,3.669952444
"Blake.Jones",0.4,2.4,120500,7475,0.1070234114,0.01538461538,0.02140468227,0.1819397993,0.01003344482,0.02675585284,0.5759197324,13.4,0.1609010459,0.224456959,0.1946902655,0.2654867257,0.154465004,832.0414311,1522.88083,1590.98245,13,23,4,23.42915222
"South.Riverdale",0.4,2.2,135400,27815,0.05896099227,0.006830846665,0.01545928456,0.2399784289,0.007549883157,0.02768290491,0.5969800467,13,0.1444723618,0.1863484087,0.1899078727,0.307998325,0.1712730318,867.6270442,2024.432405,2193.27499,49,150,7,15.03504556
"Cabbagetown.South.St.James.Town",0.5,1.8,120000,11020,0.0612522686,0.009528130672,0.03493647913,0.136569873,0.007259528131,0.01406533575,0.6610707804,12.9,0.07209876543,0.1965432099,0.1995061728,0.2918518519,0.24,1037.989825,2197.8444,2600.41356,24,52,0,5.723353
"Regent.Park",0.4,2.1,83400,12750,0.1650980392,0.03215686275,0.02980392157,0.2,0.0137254902,0.03215686275,0.2921568627,17.3,0.1502496596,0.2505674081,0.2106218793,0.2560145256,0.1325465275,1165.362476,1466.54315,1948.25503,18,25,8,51.32899444
"Moss.Park",0.5,1.6,96800,21495,0.1346824843,0.02140032566,0.03000697837,0.1746917888,0.01395673412,0.02814608048,0.4880204699,14.6,0.09615867437,0.1832789355,0.1910620136,0.3321616872,0.1973386894,2699.963113,4614.67926,4403.44032,124,129,5,26.04297556
"North.St.James.Town",0.4,2,74100,18535,0.1321823577,0.02886431076,0.03776638791,0.2179660103,0.02643647154,0.02077151335,0.2934987861,17.5,0.1191567369,0.2285365108,0.2212037886,0.2694775435,0.1616254201,980.4939385,1682.279274,1573.62989,21,52,2,11.21207889
"Kensington.Chinatown",0.4,1.9,91600,18120,0.06677704194,0.01738410596,0.02649006623,0.4023178808,0.01214128035,0.03476821192,0.370584989,17.7,0.1454814815,0.2334814815,0.16,0.2856296296,0.1754074074,2037.546372,3326.603787,3915.51371,67,80,9,31.76532778
"University",0.5,2,130200,6435,0.0404040404,0.008547008547,0.03185703186,0.2261072261,0.008547008547,0.02253302253,0.6192696193,15.3,0.07834877843,0.1777590564,0.1440606571,0.3108677338,0.2889637742,1715.238992,3235.00818,4961.8123,34,51,0,4.611898889
"Palmerston.Little.Italy",0.4,2.1,131800,13120,0.03201219512,0.006859756098,0.02172256098,0.1288109756,0.008765243902,0.01524390244,0.7572408537,11.2,0.1245805369,0.1854026846,0.1602348993,0.3133389262,0.216442953,550.1940599,1203.635879,1331.7984,30,40,0,1.540647111
"Trinity.Bellwoods",0.4,2.3,133000,15415,0.03081414207,0.005189750243,0.01459617256,0.2293220889,0.006162828414,0.01556925073,0.6707752189,12.7,0.1985507246,0.2003623188,0.1503623188,0.2862318841,0.1644927536,717.1817298,1591.95671,1766.39544,17,46,2,7.744765333
"Dufferin.Grove",0.4,2.1,100600,11210,0.04727921499,0.004906333631,0.04415700268,0.139161463,0.004014272971,0.01962533452,0.6801962533,14.4,0.1795897949,0.1885942971,0.1990995498,0.2716358179,0.1610805403,760.9579727,1573.31511,1559.749995,21,27,1,10.67159611
"Little.Portugal",0.4,2,110900,15485,0.05037132709,0.009041007427,0.03971585405,0.1520826606,0.008072328059,0.01840490798,0.6851792057,12.7,0.1487839771,0.1906294707,0.1766809728,0.3226037196,0.1613018598,586.9140989,1179.65374,1376.49313,9,40,0,2.736342778
"South.Parkdale",0.4,1.8,76300,20500,0.1231707317,0.01243902439,0.03195121951,0.1568292683,0.005365853659,0.02487804878,0.4909756098,17.3,0.146584185,0.2555137171,0.2348036579,0.2477138246,0.1153846154,1112.54734,1886.794922,1870.12838,41,71,7,16.57158478
"Roncesvalles",0.4,2.2,124000,14615,0.05542251112,0.003421142662,0.01744782757,0.1081081081,0.002052685597,0.02634279849,0.7215189873,11.3,0.1353624349,0.1926311574,0.1842210653,0.2919503404,0.195835002,671.5258619,1352.2628,1495.95766,30,42,4,14.89427433
"High.Park.Swansea",0.4,2.2,160600,22665,0.04169424222,0.005073902493,0.02073681888,0.09265387161,0.005735715861,0.01279505846,0.7694683433,11.2,0.07548638132,0.1706874189,0.1815823606,0.324773022,0.2474708171,395.4760746,997.648073,949.87634,18,32,4,8.906574556
"High.Park.North",0.4,2,118400,21855,0.04415465569,0.009608785175,0.0391214825,0.1070693205,0.008922443377,0.01464195836,0.7298101121,13.1,0.06554798112,0.1651809124,0.1969061353,0.3290508652,0.2433141059,417.5542458,990.13361,908.79546,28,28,0,0
"Runnymede.Bloor.West.Village",0.4,2.6,179000,10120,0.02816205534,0.005434782609,0.01581027668,0.09090909091,0.002470355731,0.01729249012,0.8181818182,9.8,0.1084411583,0.1706715958,0.1638940234,0.3345656192,0.2224276032,324.2768483,1040.722019,922.43775,14,22,0,1.065814
"Junction.Area",0.3,2.3,119300,14010,0.05174875089,0.005353319058,0.04354032834,0.1506067095,0.003925767309,0.01641684511,0.6834403997,12.8,0.1215538847,0.2009189641,0.2055137845,0.3028404344,0.1691729323,726.4360977,1494.518,1394.189648,12,33,1,4.553212111
"Weston.Pelham.Park",0.3,2.6,94700,10680,0.1357677903,0.004213483146,0.08286516854,0.1076779026,0.004213483146,0.02434456929,0.5922284644,15.2,0.2781130005,0.2742731761,0.2139330773,0.1574328031,0.07624794295,823.6083267,1239.15851,1173.06635,15,15,4,25.33563789
"Corso.Italia.Davenport",0.3,2.5,117300,13200,0.06174242424,0.004166666667,0.07613636364,0.08522727273,0.00303030303,0.0178030303,0.7310606061,11.3,0.2279541446,0.2156084656,0.221340388,0.2182539683,0.1168430335,615.6913256,1201.76051,911.78418,29,15,1,8.316153889
"Wychwood",0.4,2.2,129800,12800,0.072265625,0.0046875,0.041015625,0.131640625,0.00390625,0.026953125,0.697265625,12.5,0.1538112523,0.2055353902,0.1746823956,0.2717785844,0.1941923775,509.4231787,1057.197367,1336.7592,9,29,0,5.472524444
"Annex",0.6,1.8,184000,29300,0.04163822526,0.01348122867,0.02167235495,0.1363481229,0.01518771331,0.01655290102,0.7139931741,11.6,0.05656866394,0.1535169334,0.1466319315,0.3410867138,0.3021957574,858.4475121,2127.100824,1994.56588,35,123,5,4.999387556
"Casa.Loma",0.7,2,270400,11350,0.03612334802,0.006607929515,0.02422907489,0.09383259912,0.01189427313,0.0140969163,0.7625550661,11,0.04773622047,0.1737204724,0.1496062992,0.3375984252,0.2913385827,396.9337348,1038.552308,818.06746,2,19,0,1.889524
"Yonge.St.Clair",0.6,1.8,204800,12905,0.02944595118,0.01123595506,0.03215807826,0.09221232081,0.0178225494,0.01472297559,0.752421542,8.5,0.0474342389,0.1440275981,0.1655886158,0.3501509271,0.2927986201,235.8409567,710.640521,532.02972,6,12,1,0.8681233333
"Rosedale.Moore.Park",0.6,2,334000,20080,0.0234063745,0.007221115538,0.02091633466,0.09013944223,0.01369521912,0.0124501992,0.7843625498,9.4,0.04834605598,0.1509754029,0.1320327962,0.3664122137,0.3022335312,591.0589786,1903.565917,1240.508551,19,60,1,2.530639
"Mount.Pleasant.East",0.5,2.3,184200,16370,0.03237629811,0.00733048259,0.02932193036,0.1493585828,0.01832620648,0.02107513745,0.7101405009,10.6,0.07247976453,0.1688741722,0.1582045622,0.3509933775,0.2494481236,228.9405866,834.000931,403.87854,3,15,0,1.240808778
"Yonge.Eglinton",0.5,2.1,167000,12405,0.02942361951,0.01289802499,0.03829101169,0.1394598952,0.01370415155,0.01652559452,0.6989117291,11.5,0.06551240056,0.1506785213,0.1637810014,0.3528310716,0.2671970051,589.6703893,1570.77305,997.2056,12,19,0,1.681605778
